SELECT tbl.a100  FROM tbl  WHERE tbl.a76 = 'b93bVYcw2Y'
SELECT tbl.a100  FROM tbl  WHERE tbl.a43 = 'wIdeSwhup4'
SELECT tbl.a100  FROM tbl  WHERE tbl.a58 = 'y4y5VjHuKn'
SELECT tbl.a100  FROM tbl  WHERE tbl.a64 = 'cgZMC0VPaQ'
SELECT tbl.a100  FROM tbl  WHERE tbl.a63 = 'UozXbBixqJ'
SELECT tbl.a100  FROM tbl  WHERE tbl.a72 = 'BkuEfMVsVT'
SELECT tbl.a100  FROM tbl  WHERE tbl.a38 = '8Xkb9Flnut'
SELECT tbl.a100  FROM tbl  WHERE tbl.a60 = 'KlQEwa3wXs'
SELECT tbl.a100  FROM tbl  WHERE tbl.a51 = 'QhwKhns8BY'
SELECT tbl.a100  FROM tbl  WHERE tbl.a54 = 'tXGtC3bQjC'
SELECT tbl.a100  FROM tbl  WHERE tbl.a79 = 'gKti62imBJ'
SELECT tbl.a100  FROM tbl  WHERE tbl.a35 = 'fXP8utG6oe'
SELECT tbl.a100  FROM tbl  WHERE tbl.a23 = 'jSDx8DMmuv'
SELECT tbl.a100  FROM tbl  WHERE tbl.a70 = 'tEXiVMredw'
SELECT tbl.a100  FROM tbl  WHERE tbl.a89 = 'trindl0AAF'
SELECT tbl.a100  FROM tbl  WHERE tbl.a10 = '4KV4rNGdhI'
SELECT tbl.a100  FROM tbl  WHERE tbl.a83 = '851VWisDP6'
SELECT tbl.a100  FROM tbl  WHERE tbl.a67 = 'BwCBAYj80E'
SELECT tbl.a100  FROM tbl  WHERE tbl.a48 = 'G4XXj2yuuv'
SELECT tbl.a100  FROM tbl  WHERE tbl.a53 = '4XWdaA7bQK'
SELECT tbl.a100  FROM tbl  WHERE tbl.a50 = '4HS1QjeqQb'
SELECT tbl.a100  FROM tbl  WHERE tbl.a31 = 'dPHVNLntNF'
SELECT tbl.a100  FROM tbl  WHERE tbl.a60 = 'XpJvMaKHKX'
SELECT tbl.a100  FROM tbl  WHERE tbl.a18 = 'leZE5G6sbd'
SELECT tbl.a100  FROM tbl  WHERE tbl.a33 = 'SgskyB2ujv'
SELECT tbl.a100  FROM tbl  WHERE tbl.a69 = 'YMqvsLy5Xs'
SELECT tbl.a100  FROM tbl  WHERE tbl.a74 = 'IN0LcaUzO5'
SELECT tbl.a100  FROM tbl  WHERE tbl.a87 = 'ASISWbol6j'
SELECT tbl.a100  FROM tbl  WHERE tbl.a39 = 'YuAu0XXY3N'
SELECT tbl.a100  FROM tbl  WHERE tbl.a14 = 'NoGsPpV6Px'
SELECT tbl.a100  FROM tbl  WHERE tbl.a9 = 'JWOikw3vIV'
SELECT tbl.a100  FROM tbl  WHERE tbl.a98 = 'wnXyO8basi'
SELECT tbl.a100  FROM tbl  WHERE tbl.a96 = 'iLJRKCvZel'
SELECT tbl.a100  FROM tbl  WHERE tbl.a14 = 'SNRDbc66xx'
SELECT tbl.a100  FROM tbl  WHERE tbl.a93 = '8Vf7Jai9Mj'
SELECT tbl.a100  FROM tbl  WHERE tbl.a84 = 'WzzYCerMrz'
SELECT tbl.a100  FROM tbl  WHERE tbl.a30 = 'DDKefENPLv'
SELECT tbl.a100  FROM tbl  WHERE tbl.a91 = 'FFm85fJuhA'
SELECT tbl.a100  FROM tbl  WHERE tbl.a8 = '9DNSdFG1lH'
SELECT tbl.a100  FROM tbl  WHERE tbl.a65 = 'WMDaWnN27g'
SELECT tbl.a100  FROM tbl  WHERE tbl.a58 = 'rDAIvYYHN4'
SELECT tbl.a100  FROM tbl  WHERE tbl.a99 = '8qHv1di8Ab'
SELECT tbl.a100  FROM tbl  WHERE tbl.a58 = 'rPfOxq4TBQ'
SELECT tbl.a100  FROM tbl  WHERE tbl.a50 = '4kup04l2xI'
SELECT tbl.a100  FROM tbl  WHERE tbl.a81 = 'f5TAGUu2kk'
SELECT tbl.a100  FROM tbl  WHERE tbl.a58 = 'GWz0I3yfAT'
SELECT tbl.a100  FROM tbl  WHERE tbl.a18 = 'dhpEaLqY1G'
SELECT tbl.a100  FROM tbl  WHERE tbl.a20 = 'JH4gVKIZMe'
SELECT tbl.a100  FROM tbl  WHERE tbl.a95 = 'CsMvinr1nw'
SELECT tbl.a100  FROM tbl  WHERE tbl.a57 = 'RkAaqJrOLw'
SELECT tbl.a100  FROM tbl  WHERE tbl.a43 = 'DANMSffrVC'
SELECT tbl.a100  FROM tbl  WHERE tbl.a49 = 'jveEL2lx0z'
SELECT tbl.a100  FROM tbl  WHERE tbl.a70 = '7XcIgjYKOY'
SELECT tbl.a100  FROM tbl  WHERE tbl.a50 = 'SZy3nrPUI5'
SELECT tbl.a100  FROM tbl  WHERE tbl.a13 = 'V3WaUxmC2N'
SELECT tbl.a100  FROM tbl  WHERE tbl.a22 = 'pXAXZB2cPz'
